question,answer,source_1,source_2,source_3,source_4,source_5
What is the Planning Commission charged with guiding within the City?, The Planning Commission is charged with guiding land use and development within the City.,,,,,
What types of services are provided by the Department of Law?," The Department of Law provides various legal services to the City of Pittsburgh. These services include:

            1. Legal advice and representation to all departments, agencies, boards, commissions, and other entities of the City of Pittsburgh.

            2. Representation of the City in all litigation matters in federal and state courts.

            3. Drafting and reviewing various contracts, agreements, leases, licenses, permits, and other legal instruments on behalf of the City.

            4. Providing legal advice and guidance to the Mayor, City Council, and other elected officials and appointed officers of the City regarding their respective powers, duties, responsibilities, and functions under the law.

            5. Providing legal advice and representation to the City Controller and the Auditor General in connection with their respective audits and investigations of the City's financial transactions and records.

            6. Providing legal advice and representation to the City Solicitor and other assistant solicitors in connection with their respective duties and responsibilities as legal advisors and representatives of the City.

            7. Providing legal advice and representation to the City's various boards, commissions, authorities, and other entities in connection with their respective powers, duties, responsibilities, and functions under the law.

            8. Providing legal advice and representation to the City's various unions, labor organizations, and employee associations in connection with their respective collective bargaining agreements, grievances, arbitrations, and other labor-related matters.

            9. Providing legal advice and representation to the City's various vendors, contractors, consultants, and other service providers in connection with their respective contracts, agreements, licenses, permits, and other legal instruments governing their relationships with the City.

            10. Providing legal advice and representation to the City's various regulatory agencies, commissions, boards, and other entities in connection with their respective powers, duties, responsibilities, and functions under the law.

            11. Providing legal advice and representation to the City's various public utilities, transportation authorities, and other entities in connection with their respective powers, duties, responsibilities, and functions under the law.

            12. Providing legal advice and representation to the City's various educational institutions, including public schools, charter schools, private schools, universities, colleges, and other educational entities in connection",,,,,
What phone number should be included on a pet's identification tag?," The phone number of the pet owner should be included on a pet's identification tag. This will help ensure that if your pet gets lost, someone who finds them can easily contact you to arrange for their safe return.",,,,,
"According to the provided text, how may employers compute their payroll expense attributable to the City of Pittsburgh if their employees perform work partly within and partly outside of the city?","

            Employers whose employees perform work partly within and partly outside of the City of Pittsburgh must apportion their payroll expense to the portion attributable to the City of Pittsburgh. 

            To compute this amount, employers should first determine the total compensation paid to all employees who performed any work in the City of Pittsburgh during the tax year. 

            Next, employers should determine the total compensation paid to all employees who performed any work outside of the City of Pittsburgh during the tax year. 

            Finally, employers should apportion their total payroll expense for the tax year based on the percentage of total compensation paid to employees who performed work in the City of Pittsburgh versus those who performed work outside of the City of Pittsburgh. 

            The resulting amount is the employer's payroll expense attributable to the City of Pittsburgh.",,,,,
When was the Pittsburgh Soul Food Festival established?,2019.,,,,,
What types of recreational facilities are available through Citiparks?," Citiparks offers a wide range of recreational facilities for residents of Pittsburgh. Some of the types of facilities available include:

            Tennis courts
            Basketball courts
            Skate parks
            Playgrounds
            Picnic areas
            Community gardens
            Pool facilities (seasonal)
            Event spaces
            Fitness centers
            Senior centers
            Cultural centers
            Library branches
            Museums
            Zoos
            Botanical gardens
            Arboretums
            Nature preserves
            Historic sites
            Monuments
            Memorial parks
            Cemeteries
            Parking lots
            Bike racks
            Bus stops
            Train stations
            Ferry terminals
            Heliports
            Airports
            
            These are just some of the types of recreational facilities available through Citiparks in Pittsburgh. For more information, please visit the Citiparks website or contact them directly.",,,,,
What is the name of the 42-story building erected by the University of Pittsburgh that currently stands as the world's fourth-tallest educational building?, The Cathedral of Learning.,,,,,
What factors contributed to the Pittsburgh Penguins' growth in popularity?,"

            The Pittsburgh Penguins' growth in popularity can be attributed to several factors:

            1. Success on the ice: The Penguins have had a strong presence in the NHL, with numerous playoff appearances and Stanley Cup championships. This success has helped to build a loyal fan base.

            2. Strong leadership: The Penguins have been fortunate to have strong leaders both on and off the ice. Players such as Sidney Crosby, Evgeni Malkin, and Mario Lemieux have helped to establish the team's winning culture. Off the ice, the team's ownership and management have worked to build a strong organization that is dedicated to success both on and off the ice.

            3. Marketing and community engagement: The Penguins have been successful in building a strong fan base through effective marketing and community engagement efforts. The team has worked to build a strong online presence, with active social media accounts and a well-designed website that provides fans with up-to-date information about the team and its players. The Penguins have also worked to engage with their fans in person, with regular community events and fan activities that help to build a strong sense of connection between the team and its fans.

            4. Fan culture and traditions: The Pittsburgh Penguins have built a strong fan culture and tradition that helps to foster a deep sense of loyalty and connection among fans. Some of the key elements of the Penguins' fan culture and traditions include:

            - The team's iconic logo, which features a penguin wearing a jersey and holding a hockey stick, has become a beloved symbol of the team and its fans.

            - The Penguins' fan base is known for its passionate and dedicated support of the team. Fans are known to paint their faces and bodies in team colors, wear replica jerseys and other team merchandise, and attend games in large numbers to cheer on the team.

            - The Penguins' fan culture and traditions are also characterized by a strong sense of community and camaraderie among fans. Fans are known to gather together before and after games to socialize, share stories and memories, and show their support for the team.

            - Finally, the Penguins' fan culture and traditions are also characterized by a deep sense of history and tradition among fans. Fans are known to take great",,,,,
What replaced the IceoPlex at Southpointe and the 84 Lumber Arena as the Penguins' regular practice facility?,"

            The UPMC Lemieux Sports Complex, located in suburban Cranberry Township near the interchange between Interstate 79 and Pennsylvania Route 228, replaced both the IceoPlex at Southpointe and the 84 Lumber Arena as the Penguins' regular practice facility.

            The twin rink facility includes a new team practice and training facility with a UPMC Sports Medicine treatment and research complex. This replacement of the old practice facilities has freed up the Consol Energy Center for other events on days the Penguins are not scheduled to play.

            Year round ice skating and skating events can be enjoyed at indoor area rinks such as Alpha Ice Complex, which offers a wide range of public session times, including Mascot Madness and Valentine's On Ice special events.",,,,,
What is the designated section name for the Office of Community Health and Safety?," I don't have access to that specific information. However, the Office of Community Health and Safety is typically a department or division within an organization focused on promoting and protecting the health and safety of a community.",,,,,
